from	to	Correlation	p-Value
P::xylonate	P::xylose	0.052311762	2.83E-09
P::piperine	P::X - 01911	0.075340506	2.22E-16
P::10-undecenoate (11:1n1)	P::X - 02249	0.048249786	4.27E-08
P::1-docosahexaenoylglycerophosphocholine*	P::X - 02269	0.050194257	1.20E-08
P::3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	P::X - 02269	0.108396373	2.22E-16
P::docosahexaenoate (DHA; 22:6n3)	P::X - 02269	0.053047051	1.69E-09
P::X - 01497	P::X - 11204	0.057138323	8.57E-11
P::1-palmitoylglycerol (1-monopalmitin)	P::X - 11317	0.048316219	4.09E-08
P::citrate	P::X - 11327	-0.051852517	3.89E-09
P::X - 01497	P::X - 11327	0.065079335	1.43E-13
P::X - 11204	P::X - 11327	0.078937907	2.22E-16
P::pipecolate	P::X - 11334	0.057226118	8.02E-11
P::X - 11308	P::X - 11372	0.057145872	8.53E-11
P::X - 11308	P::X - 11378	0.089247733	2.22E-16
P::3-phosphoglycerate	P::X - 11400	0.06951181	2.66E-15
P::adenosine 5'-monophosphate (AMP)	P::X - 11400	0.116056459	2.22E-16
P::cysteine-glutathione disulfide	P::X - 11400	0.064883721	1.69E-13
P::glycerophosphorylcholine (GPC)	P::X - 11400	0.054274791	7.08E-10
P::nicotinamide	P::X - 11400	0.072517313	2.22E-16
P::serotonin (5HT)	P::X - 11400	0.14923317	2.22E-16
P::pseudouridine	P::X - 11429	0.055563105	2.77E-10
P::10-undecenoate (11:1n1)	P::X - 11438	0.058877603	2.26E-11
P::hexadecanedioate	P::X - 11438	0.048923433	2.76E-08
P::21-hydroxypregnenolone disulfate	P::X - 11440	0.049290575	2.17E-08
P::4-androsten-3beta,17beta-diol disulfate 1*	P::X - 11440	0.074818357	2.22E-16
P::pregnen-diol disulfate*	P::X - 11440	0.096308062	2.22E-16
P::biliverdin	P::X - 11441	0.080759404	2.22E-16
P::biliverdin	P::X - 11442	0.082745929	2.22E-16
P::X - 11441	P::X - 11442	0.106788429	2.22E-16
P::piperine	P::X - 11452	0.081994531	2.22E-16
P::X - 01911	P::X - 11452	0.0529311	1.84E-09
P::1-docosahexaenoylglycerophosphocholine*	P::X - 11469	0.050299018	1.11E-08
P::3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	P::X - 11469	0.107112833	2.22E-16
P::docosahexaenoate (DHA; 22:6n3)	P::X - 11469	0.053605165	1.14E-09
P::X - 02269	P::X - 11469	0.124362605	2.22E-16
P::X - 11444	P::X - 11470	0.086243846	2.22E-16
P::X - 11261	P::X - 11478	0.076274372	2.22E-16
P::X - 01911	P::X - 11485	0.057508591	6.48E-11
P::X - 11452	P::X - 11485	0.062211602	1.58E-12
P::X - 11372	P::X - 11497	0.077369625	2.22E-16
P::X - 11261	P::X - 11521	0.071469081	4.44E-16
P::X - 11478	P::X - 11521	0.060319276	7.28E-12
P::bilirubin (Z,Z)	P::X - 11522	0.056923617	1.01E-10
P::biliverdin	P::X - 11522	0.069036672	4.44E-15
P::X - 11441	P::X - 11522	0.078771093	2.22E-16
P::X - 11442	P::X - 11522	0.085314439	2.22E-16
P::glycocholenate sulfate*	P::X - 11529	0.055922815	2.13E-10
P::bilirubin (Z,Z)	P::X - 11530	0.061608371	2.58E-12
P::biliverdin	P::X - 11530	0.072961826	2.22E-16
P::X - 11441	P::X - 11530	0.085328924	2.22E-16
P::X - 11442	P::X - 11530	0.089241166	2.22E-16
P::X - 11522	P::X - 11530	0.118766969	2.22E-16
P::undecanoate (11:0)	P::X - 11533	0.051900464	3.76E-09
P::X - 11204	P::X - 11533	0.063796217	4.23E-13
P::hexadecanedioate	P::X - 11538	0.088282235	2.22E-16
P::octadecanedioate	P::X - 11538	0.067746322	1.38E-14
P::X - 11372	P::X - 11549	0.071930406	4.44E-16
P::pelargonate (9:0)	P::X - 11550	0.058110347	4.09E-11
P::undecanoate (11:0)	P::X - 11550	0.051096864	6.51E-09
P::X - 11533	P::X - 11550	0.09405738	2.22E-16
P::threonate	P::X - 11593	0.064444821	2.45E-13
P::N1-methyladenosine	P::X - 11687	0.049642887	1.72E-08
P::X - 11845	P::X - 11847	0.101249293	2.22E-16
P::X - 11845	P::X - 11849	0.121233524	2.22E-16
P::X - 11847	P::X - 11849	0.113182837	2.22E-16
P::X - 11845	P::X - 11858	0.085747088	2.22E-16
P::X - 11847	P::X - 11858	0.100213311	2.22E-16
P::X - 11849	P::X - 11858	0.082632856	2.22E-16
P::X - 11308	P::X - 11880	0.059397996	1.51E-11
P::X - 11372	P::X - 11880	0.128474022	2.22E-16
P::X - 11497	P::X - 11880	0.084244695	2.22E-16
P::hexadecanedioate	P::X - 11905	0.07177466	4.44E-16
P::tetradecanedioate	P::X - 11905	0.073418792	2.22E-16
P::X - 11538	P::X - 11905	0.05947995	1.41E-11
P::2-oleoylglycerophosphoethanolamine*	P::X - 12038	0.050862552	7.63E-09
P::2-palmitoylglycerophosphoethanolamine*	P::X - 12038	0.071923939	4.44E-16
P::X - 11317	P::X - 12038	0.077721641	2.22E-16
P::3-methyl catechol sulfate 1	P::X - 12039	0.065711648	8.26E-14
P::quinate	P::X - 12039	0.049844011	1.51E-08
P::2-stearoylglycerophosphocholine*	P::X - 12051	0.04862889	3.34E-08
P::X - 11204	P::X - 12051	0.116664016	2.22E-16
P::X - 11327	P::X - 12051	0.064466245	2.40E-13
P::5alpha-androstan-3beta,17beta-diol disulfate	P::X - 12063	0.056698781	1.19E-10
P::N1-Methyl-2-pyridone-5-carboxamide	P::X - 12095	0.112203894	2.22E-16
P::kynurenine	P::X - 12100	0.053779004	1.01E-09
P::S-methylcysteine	P::X - 12128	0.061890096	2.05E-12
P::X - 12107	P::X - 12128	0.077714566	2.22E-16
P::X - 12039	P::X - 12230	0.069053741	4.44E-15
P::piperine	P::X - 12231	0.08333008	2.22E-16
P::X - 01911	P::X - 12231	0.059302164	1.62E-11
P::X - 11452	P::X - 12231	0.098289264	2.22E-16
P::X - 11485	P::X - 12231	0.071557557	4.44E-16
P::3-indoxyl sulfate	P::X - 12405	0.103837732	2.22E-16
P::5-dodecenoate (12:1n7)	P::X - 12442	0.052728158	2.12E-09
P::17-methylstearate	P::X - 12459	0.070465618	1.33E-15
P::3-hydroxybutyrate (BHBA)	P::X - 12465	0.053239311	1.48E-09
P::acetylcarnitine	P::X - 12465	0.053396433	1.32E-09
P::X - 12510	P::X - 12511	0.141391542	2.22E-16
P::1-arachidonoylglycerophosphoethanolamine*	P::X - 12644	0.092818662	2.22E-16
P::1-docosahexaenoylglycerophosphocholine*	P::X - 12644	0.067658499	1.51E-14
P::1-linoleoylglycerophosphoethanolamine*	P::X - 12644	0.070879219	8.88E-16
P::2-arachidonoylglycerophosphoethanolamine*	P::X - 12644	0.056279647	1.63E-10
P::2-palmitoylglycerophosphoethanolamine*	P::X - 12644	0.06292788	8.74E-13
P::3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	P::X - 12644	0.060484045	6.38E-12
P::docosahexaenoate (DHA; 22:6n3)	P::X - 12644	0.066082421	6.00E-14
P::X - 11444	P::X - 12844	0.055340938	3.26E-10
P::cortisol	P::X - 12846	0.051089004	6.55E-09
P::X - 11444	P::X - 12846	0.064219849	2.96E-13
P::thymol sulfate	P::X - 12847	0.067188064	2.26E-14
P::glycochenodeoxycholate	P::X - 12850	0.063989642	3.60E-13
P::glycocholate	P::X - 12850	0.062781151	9.87E-13
P::X - 12465	P::X - 12855	0.097770339	2.22E-16
P::phenylalanyltryptophan	P::X - 13215	0.051170094	6.20E-09
P::X - 11317	P::X - 13215	0.099762676	2.22E-16
P::glycodeoxycholate	P::X - 13429	0.081080355	2.22E-16
P::glycolithocholate sulfate*	P::X - 13429	0.07654309	2.22E-16
P::taurolithocholate 3-sulfate	P::X - 13429	0.058544283	2.93E-11
P::X - 11529	P::X - 13429	0.078770141	2.22E-16
P::cis-4-decenoyl carnitine	P::X - 13435	0.065407612	1.07E-13
P::decanoylcarnitine	P::X - 13435	0.049114917	2.44E-08
P::7-methylxanthine	P::X - 13728	0.058878427	2.26E-11
P::theobromine	P::X - 13728	0.081494791	2.22E-16
P::3-methylhistidine	P::X - 13835	0.102573518	2.22E-16
P::X - 02249	P::X - 13866	0.058134241	4.02E-11
P::13-HODE + 9-HODE	P::X - 13891	0.06224774	1.53E-12
P::X - 13871	P::X - 14056	0.138326559	2.22E-16
P::heme	P::X - 14588	-0.057059277	9.10E-11
P::X - 11261	P::X - 14939	0.091860915	2.22E-16
P::X - 11478	P::X - 14939	0.115401892	2.22E-16
P::X - 11521	P::X - 14939	0.052811838	2.00E-09
P::X - 11550	P::X - 15222	0.076718554	2.22E-16
P::X - 13215	P::X - 15222	0.051349286	5.49E-09
P::cys-gly, oxidized	P::X - 15375	0.111998736	2.22E-16
P::X - 13871	P::X - 15382	0.05677569	1.13E-10
P::X - 14056	P::X - 15382	0.055488433	2.93E-10
P::X - 15375	P::X - 15382	0.069719017	2.22E-15
P::X - 14056	P::X - 15484	0.065477128	1.01E-13
P::X - 15375	P::X - 15484	0.071879907	4.44E-16
P::X - 15382	P::X - 15484	0.185403906	2.22E-16
P::X - 13529	P::X - 15497	0.054515852	5.95E-10
P::kynurenine	P::X - 15503	0.053060097	1.68E-09
P::pelargonate (9:0)	P::X - 15650	0.101337875	2.22E-16
P::undecanoate (11:0)	P::X - 15650	0.049458662	1.95E-08
P::X - 11550	P::X - 15650	0.082693118	2.22E-16
P::X - 15222	P::X - 15650	0.066584316	3.86E-14
P::X - 13557	P::X - 15808	0.077695684	2.22E-16
P::2-hydroxydecanoic acid	P::X - 16089	0.057078892	8.97E-11
P::X - 12029	P::X - 16206	0.049114144	2.44E-08
P::X - 12776	P::X - 16206	0.04897584	2.67E-08
P::hexadecanedioate	P::X - 16480	0.064997032	1.53E-13
P::octadecanedioate	P::X - 16480	0.055468009	2.97E-10
P::X - 11538	P::X - 16480	0.079285536	2.22E-16
P::pelargonate (9:0)	P::X - 16578	0.059923532	9.96E-12
P::X - 15650	P::X - 16578	0.056879925	1.04E-10
P::X - 01497	P::X - 16869	0.049981255	1.38E-08
P::X - 15664	P::X - 16932	0.180257451	2.22E-16
P::biliverdin	P::X - 16934	0.07996104	2.22E-16
P::X - 11441	P::X - 16934	0.08532027	2.22E-16
P::X - 11442	P::X - 16934	0.09116535	2.22E-16
P::X - 11522	P::X - 16934	0.08763853	2.22E-16
P::X - 11530	P::X - 16934	0.089034395	2.22E-16
P::X - 11308	P::X - 16935	0.076140807	2.22E-16
P::X - 11372	P::X - 16935	0.064486675	2.36E-13
P::X - 11378	P::X - 16935	0.056625936	1.26E-10
P::X - 11549	P::X - 16935	0.052589023	2.33E-09
P::X - 11880	P::X - 16935	0.07749881	2.22E-16
P::X - 15664	P::X - 16938	0.111951807	2.22E-16
P::X - 16932	P::X - 16938	0.087123342	2.22E-16
P::X - 12734	P::X - 16940	0.107099132	2.22E-16
P::undecanoate (11:0)	P::X - 16943	0.053069066	1.67E-09
P::X - 11533	P::X - 16943	0.06004558	9.04E-12
P::X - 11550	P::X - 16943	0.073790284	2.22E-16
P::X - 16578	P::X - 16943	0.065983805	6.53E-14
P::bilirubin (E,E)*	P::X - 16946	0.062051158	1.80E-12
P::biliverdin	P::X - 16946	0.104421305	2.22E-16
P::X - 11441	P::X - 16946	0.082900984	2.22E-16
P::X - 11442	P::X - 16946	0.086546768	2.22E-16
P::X - 11522	P::X - 16946	0.0726776	2.22E-16
P::X - 11530	P::X - 16946	0.075619271	2.22E-16
P::X - 16934	P::X - 16946	0.081772408	2.22E-16
P::X - 15664	P::X - 17137	0.201345289	2.22E-16
P::X - 16932	P::X - 17137	0.184423534	2.22E-16
P::X - 16938	P::X - 17137	0.08904619	2.22E-16
P::4-androsten-3beta,17beta-diol disulfate 1*	P::X - 17148	0.049531306	1.86E-08
P::5alpha-androstan-3beta,17beta-diol disulfate	P::X - 17148	0.13724663	2.22E-16
P::androsterone sulfate	P::X - 17148	0.061689778	2.42E-12
P::epiandrosterone sulfate	P::X - 17148	0.075874492	2.22E-16
P::X - 12063	P::X - 17148	0.066269283	5.11E-14
P::4-vinylphenol sulfate	P::X - 17185	0.059843686	1.06E-11
P::1-oleoylglycerophosphoethanolamine	P::X - 17254	0.098977648	2.22E-16
P::2-palmitoylglycerophosphoethanolamine*	P::X - 17254	-0.06837551	7.99E-15
P::5-oxoproline	P::X - 17254	0.057256351	7.84E-11
P::histidine	P::X - 17254	0.055230045	3.54E-10
P::pelargonate (9:0)	P::X - 17269	0.063062178	7.82E-13
P::X - 15650	P::X - 17269	0.049495342	1.90E-08
P::X - 16943	P::X - 17269	0.061457767	2.92E-12
P::X - 12844	P::X - 17336	0.096294275	2.22E-16
P::10-undecenoate (11:1n1)	P::X - 17337	0.083195206	2.22E-16
P::X - 11444	P::X - 17357	0.053286892	1.43E-09
P::X - 12844	P::X - 17357	0.069382158	3.11E-15
P::X - 17336	P::X - 17357	0.069026126	4.44E-15
P::pyruvate	P::X - 17502	0.069426554	3.11E-15
P::X - 15808	P::X - 17502	0.072589487	2.22E-16
P::X - 16869	P::X - 17502	0.055382282	3.17E-10
P::lathosterol	P::X - 17612	-0.057117833	8.71E-11
P::X - 12029	P::X - 17628	0.069527463	2.66E-15
P::X - 17628	P::X - 17629	0.127602052	2.22E-16
P::X - 11308	P::X - 17653	0.089600453	2.22E-16
P::X - 11378	P::X - 17653	0.054282512	7.04E-10
P::X - 11549	P::X - 17653	0.059211011	1.74E-11
P::X - 11880	P::X - 17653	0.049620098	1.75E-08
P::X - 11308	P::X - 17654	0.100389429	2.22E-16
P::X - 11378	P::X - 17654	0.049878429	1.48E-08
P::X - 16935	P::X - 17654	0.050299473	1.11E-08
P::X - 17653	P::X - 17654	0.135085246	2.22E-16
P::X - 11845	P::X - 17656	0.078165223	2.22E-16
P::X - 11847	P::X - 17656	0.079365275	2.22E-16
P::X - 11849	P::X - 17656	0.06376358	4.35E-13
P::X - 11858	P::X - 17656	0.097948374	2.22E-16
P::thymol sulfate	P::X - 17690	0.169048298	2.22E-16
P::X - 12847	P::X - 17690	0.091618326	2.22E-16
P::X - 12846	P::X - 17706	0.059850318	1.06E-11
P::X - 17336	P::X - 17706	0.049328464	2.12E-08
P::glucose	P::X - 18221	0.06315891	7.21E-13
P::4-androsten-3beta,17beta-diol disulfate 1*	P::X - 18601	0.078344436	2.22E-16
P::4-androsten-3beta,17beta-diol disulfate 2*	P::X - 18601	0.051236589	5.92E-09
P::dehydroisoandrosterone sulfate (DHEA-S)	P::X - 18601	0.08687688	2.22E-16
P::decanoylcarnitine	P::X - 18739	0.061882693	2.06E-12
P::laurylcarnitine	P::X - 18739	0.078548371	2.22E-16
P::myristoylcarnitine	P::X - 18739	0.050581943	9.22E-09
P::palmitoylcarnitine	P::X - 18739	0.052208966	3.04E-09
P::catechol sulfate	P::X - 18779	-0.053482558	1.25E-09
P::EDTA	P::X - 18779	0.05308161	1.65E-09
P::X - 17375	P::X - 18779	0.084760616	2.22E-16
P::13-HODE + 9-HODE	P::X - 18913	0.056467225	1.42E-10
P::2-hydroxydecanoic acid	P::X - 18913	0.071438024	4.44E-16
P::X - 18249	P::X - 18914	0.197453268	2.22E-16
P::bilirubin (Z,Z)	P::X - 18929	0.075153233	2.22E-16
P::biliverdin	P::X - 18929	0.064074078	3.35E-13
P::X - 11441	P::X - 18929	0.05123974	5.91E-09
P::X - 11442	P::X - 18929	0.049396092	2.03E-08
P::X - 16934	P::X - 18929	0.051291072	5.71E-09
P::X - 16946	P::X - 18929	0.05251836	2.45E-09
P::X - 11491	P::X - 19141	0.13862856	2.22E-16
P::erythrulose	P::X - 19147	0.048633246	3.34E-08
P::X - 11204	P::X - 19147	0.055222956	3.56E-10
P::X - 11317	P::X - 19147	0.064992103	1.54E-13
P::X - 16063	P::X - 19147	0.061022997	4.14E-12
P::X - 16869	P::X - 19147	0.060096954	8.68E-12
P::5-oxoproline	P::X - 19380	-0.064197665	3.02E-13
P::tryptophan	P::X - 19380	0.055344029	3.26E-10
P::X - 12776	P::X - 19380	0.050423236	1.03E-08
P::X - 17628	P::X - 19380	0.058101201	4.12E-11
P::gamma-glutamyltyrosine	P::X - 19411	0.058630794	2.74E-11
P::tyrosine	P::X - 19411	0.067328174	2.00E-14
P::X - 11429	P::X - 19437	0.100493351	2.22E-16
P::3-methyl-2-oxobutyrate	P::X - 19438	0.064933752	1.61E-13
P::3-methyl-2-oxovalerate	P::X - 19438	0.080494875	2.22E-16
P::4-methyl-2-oxopentanoate	P::X - 19438	0.074476983	2.22E-16
P::lactate	P::X - 19438	0.057008398	9.46E-11
P::pyruvate	P::X - 19438	0.074435355	2.22E-16
P::X - 17502	P::X - 19438	0.076193227	2.22E-16
P::1,2-propanediol	U::1,2-propanediol	0.214084535	2.22E-16
P::1,3,7-trimethylurate	U::1,3,7-trimethylurate	0.058535213	2.95E-11
P::caffeine	U::1,3,7-trimethylurate	0.059522963	1.37E-11
P::1,7-dimethylurate	U::1,7-dimethylurate	0.059204033	1.75E-11
P::caffeine	U::1,7-dimethylurate	0.051566106	4.73E-09
P::paraxanthine	U::1,7-dimethylurate	0.050762431	8.17E-09
P::theophylline	U::1,7-dimethylurate	0.058565211	2.88E-11
U::1,3,7-trimethylurate	U::1,7-dimethylurate	0.061119518	3.83E-12
P::X - 03056	U::1-(3-aminopropyl)-2-pyrrolidone	0.082865327	2.22E-16
P::3-methylhistidine	U::1-methylimidazoleacetate	0.065465028	1.02E-13
P::X - 13835	U::1-methylimidazoleacetate	0.073047397	2.22E-16
P::X - 12095	U::1-methylnicotinamide	0.060166714	8.21E-12
U::1,7-dimethylurate	U::1-methylurate	0.053905673	9.22E-10
P::1-methylxanthine	U::1-methylxanthine	0.049608691	1.76E-08
U::1,7-dimethylurate	U::1-methylxanthine	0.074187372	2.22E-16
U::1-methylurate	U::1-methylxanthine	0.092656415	2.22E-16
P::2-aminobutyrate	U::2-aminobutyrate	0.068307671	8.44E-15
P::2-hydroxyhippurate (salicylurate)	U::2-hydroxyhippurate (salicylurate)	0.140470397	2.22E-16
P::21-hydroxypregnenolone disulfate	U::21-hydroxypregnenolone disulfate	0.05265299	2.23E-09
U::2-methylbutyrylcarnitine (C5)	U::3-dehydrocarnitine*	0.048925942	2.76E-08
U::2-methylhippurate	U::3-ethylphenylsulfate*	0.085849729	2.22E-16
U::2-hydroxybutyrate (AHB)	U::3-hydroxybutyrate (BHBA)	0.054338497	6.76E-10
U::2-hydroxyisobutyrate	U::3-hydroxyglutarate	0.049219226	2.28E-08
P::3-hydroxyhippurate	U::3-hydroxyhippurate	0.08156599	2.22E-16
U::3-hydroxy-2-ethylpropionate	U::3-hydroxyisobutyrate	0.063716723	4.53E-13
U::3-hydroxybutyrate (BHBA)	U::3-hydroxyisobutyrate	0.071238577	4.44E-16
P::3-hydroxypropanoate	U::3-hydroxypropanoate	0.154056107	2.22E-16
P::3-hydroxydecanoate	U::3-hydroxysebacate	0.0556876	2.53E-10
P::3-hydroxyoctanoate	U::3-hydroxysebacate	0.068352116	7.99E-15
P::3-indoxyl sulfate	U::3-indoxyl sulfate	0.083636229	2.22E-16
P::X - 12405	U::3-indoxyl sulfate	0.068632192	6.22E-15
P::3-methyl catechol sulfate 1	U::3-methyl catechol sulfate 1	0.061453348	2.93E-12
U::3-methyl catechol sulfate 1	U::3-methyl catechol sulfate 2	0.070995994	6.66E-16
U::2-methylbutyrylglycine	U::3-methylcrotonylglycine	0.069879939	2.00E-15
P::3-methylglutarylcarnitine (C6)	U::3-methylglutaconate	0.086448492	2.22E-16
U::3-hydroxy-3-methylglutarate	U::3-methylglutaconate	0.052773097	2.05E-09
P::3-methylglutarylcarnitine (C6)	U::3-methylglutarate	0.078230254	2.22E-16
U::3-methylglutaconate	U::3-methylglutarate	0.108646222	2.22E-16
P::3-methylglutarylcarnitine (C6)	U::3-methylglutarylcarnitine (C6)	0.109105514	2.22E-16
U::3-methylglutaconate	U::3-methylglutarylcarnitine (C6)	0.092047369	2.22E-16
U::3-methylglutarate	U::3-methylglutarylcarnitine (C6)	0.1402116	2.22E-16
P::3-methylhistidine	U::3-methylhistidine	0.108518065	2.22E-16
P::X - 13835	U::3-methylhistidine	0.061793931	2.22E-12
U::1-methylimidazoleacetate	U::3-methylhistidine	0.068747725	5.77E-15
P::theobromine	U::3-methylxanthine	0.060980597	4.29E-12
P::X - 13728	U::3-methylxanthine	0.055814272	2.30E-10
P::5-methyluridine (ribothymidine)	U::4-acetaminophen sulfate	-0.066127681	5.77E-14
P::4-androsten-3beta,17beta-diol disulfate 1*	U::4-androsten-3beta,17beta-diol disulfate 1*	0.08215428	2.22E-16
P::dehydroisoandrosterone sulfate (DHEA-S)	U::4-androsten-3beta,17beta-diol disulfate 1*	0.052108814	3.26E-09
P::X - 18601	U::4-androsten-3beta,17beta-diol disulfate 1*	0.068049269	1.07E-14
P::4-androsten-3beta,17beta-diol disulfate 2*	U::4-androsten-3beta,17beta-diol disulfate 2*	0.062730324	1.03E-12
U::4-androsten-3beta,17beta-diol disulfate 1*	U::4-androsten-3beta,17beta-diol disulfate 2*	0.06330579	6.38E-13
P::4-ethylphenylsulfate	U::4-ethylphenylsulfate	0.156254186	2.22E-16
P::4-hydroxyhippurate	U::4-hydroxybenzoate	0.075427518	2.22E-16
P::4-hydroxyhippurate	U::4-hydroxyhippurate	0.154770697	2.22E-16
U::4-hydroxybenzoate	U::4-hydroxyhippurate	0.093683625	2.22E-16
P::X - 11787	U::4-hydroxyisoleucine	0.058559492	2.89E-11
U::4-hydroxybenzoate	U::4-hydroxymandelate	0.064711213	1.95E-13
P::4-hydroxyphenylacetate	U::4-hydroxyphenylacetate	0.089755375	2.22E-16
U::3-(4-hydroxyphenyl)lactate	U::4-hydroxyphenylpyruvate	0.054986688	4.23E-10
P::4-methylcatechol sulfate	U::4-methylcatechol sulfate	0.131791725	2.22E-16
P::p-cresol sulfate	U::4-methylcatechol sulfate	0.050966015	7.12E-09
P::4-vinylphenol sulfate	U::4-vinylphenol sulfate	0.184817839	2.22E-16
U::3-ureidopropionate	U::5,6-dihydrouracil	0.08473326	2.22E-16
U::1,3-dimethylurate	U::5-acetylamino-6-amino-3-methyluracil	0.05217044	3.12E-09
U::1,7-dimethylurate	U::5-acetylamino-6-amino-3-methyluracil	0.06159435	2.61E-12
U::1-methylurate	U::5-acetylamino-6-amino-3-methyluracil	0.053373844	1.35E-09
U::1,7-dimethylurate	U::5-acetylamino-6-formylamino-3-methyluracil	0.055541693	2.82E-10
U::5-acetylamino-6-amino-3-methyluracil	U::5-acetylamino-6-formylamino-3-methyluracil	0.101863194	2.22E-16
P::betaine	U::5-aminovalerate	0.052922458	1.85E-09
U::3-methylcytidine	U::5-methylcytidine	0.067200869	2.26E-14
U::7,8-dihydroneopterin	U::7-methylguanine	0.075962761	2.22E-16
P::7-methylxanthine	U::7-methylxanthine	0.051763492	4.13E-09
P::theobromine	U::7-methylxanthine	0.066109323	5.86E-14
P::X - 13728	U::7-methylxanthine	0.055837695	2.27E-10
U::1-methylxanthine	U::7-methylxanthine	0.051217474	6.00E-09
U::3-methylxanthine	U::7-methylxanthine	0.064977313	1.55E-13
U::2-methylbutyrylcarnitine (C5)	U::acetylcarnitine	0.051509334	4.92E-09
U::3-dehydrocarnitine*	U::acetylcarnitine	0.080989359	2.22E-16
U::5-methylthioadenosine (MTA)	U::adenine	0.062773125	9.93E-13
U::7,8-dihydroneopterin	U::adenine	0.073298648	2.22E-16
U::7-methylguanine	U::adenine	0.071932423	4.44E-16
U::2-hydroxyglutarate	U::adipate	0.066847818	3.06E-14
U::2-aminobutyrate	U::alanine	0.050670821	8.69E-09
P::allantoin	U::allantoin	0.04843123	3.80E-08
P::gamma-tocopherol	U::alpha-CEHC glucuronide*	-0.074679895	2.22E-16
P::X - 11876	U::alpha-CEHC glucuronide*	0.075346576	2.22E-16
P::alpha-hydroxyisovalerate	U::alpha-hydroxyisovalerate	0.054744741	5.04E-10
U::2-hydroxyglutarate	U::alpha-ketoglutarate	0.061928999	1.99E-12
P::andro steroid monosulfate 2*	U::andro steroid monosulfate 2*	0.084682189	2.22E-16
U::4-androsten-3beta,17beta-diol disulfate 2*	U::andro steroid monosulfate 2*	0.073219578	2.22E-16
P::androsterone sulfate	U::androsterone sulfate	0.097001044	2.22E-16
P::epiandrosterone sulfate	U::androsterone sulfate	0.072517453	2.22E-16
P::arabinose	U::arabinose	0.064760135	1.87E-13
U::arabitol	U::arabonate	0.050075329	1.29E-08
P::erythrulose	U::ascorbate (Vitamin C)	0.055127812	3.81E-10
P::glycerate	U::ascorbate (Vitamin C)	0.052830988	1.97E-09
P::threonate	U::ascorbate (Vitamin C)	0.0540477	8.33E-10
U::2-aminoadipate	U::asparagine	0.04929491	2.17E-08
U::allantoin	U::asparagine	0.051356672	5.46E-09
P::2-hydroxydecanoic acid	U::azelate (nonanedioate)	0.056013066	1.99E-10
P::X - 12734	U::benzene-1,2,3-triol	0.057502104	6.51E-11
P::X - 16940	U::benzene-1,2,3-triol	0.063651857	4.78E-13
P::beta-alanine	U::beta-alanine	0.048510519	3.61E-08
U::5-aminovalerate	U::beta-alanine	0.052301101	2.85E-09
U::acetylcarnitine	U::butyrylcarnitine	0.06089508	4.59E-12
P::caffeine	U::caffeine	0.049260169	2.22E-08
U::1,3,7-trimethylurate	U::caffeine	0.061499977	2.82E-12
U::2-methylbutyrylcarnitine (C5)	U::carnitine	0.055395112	3.14E-10
U::3-dehydrocarnitine*	U::carnitine	0.087603049	2.22E-16
U::acetylcarnitine	U::carnitine	0.102097096	2.22E-16
U::butyrylcarnitine	U::carnitine	0.064635266	2.08E-13
U::anserine	U::carnosine	0.080540496	2.22E-16
P::catechol sulfate	U::catechol sulfate	0.105740596	2.22E-16
U::alpha-ketoglutarate	U::citrate	0.055283908	3.40E-10
P::creatine	U::creatine	0.091890071	2.22E-16
P::pyroglutamine*	U::creatine	-0.069970862	1.78E-15
U::allantoin	U::cysteine	0.049154781	2.38E-08
U::cystathionine	U::cystine	0.086433486	2.22E-16
P::17-methylstearate	U::decanoylcarnitine	0.059590629	1.30E-11
P::X - 12459	U::decanoylcarnitine	0.080183603	2.22E-16
U::4-androsten-3beta,17beta-diol disulfate 1*	U::dehydroisoandrosterone sulfate (DHEA-S)	0.060975872	4.30E-12
U::4-androsten-3beta,17beta-diol disulfate 2*	U::dehydroisoandrosterone sulfate (DHEA-S)	0.060315647	7.30E-12
U::andro steroid monosulfate 2*	U::dehydroisoandrosterone sulfate (DHEA-S)	0.077414013	2.22E-16
U::androsterone sulfate	U::dehydroisoandrosterone sulfate (DHEA-S)	0.082703697	2.22E-16
U::7,8-dihydroneopterin	U::dihydrobiopterin	0.075440863	2.22E-16
U::7-methylguanine	U::dihydrobiopterin	0.080523511	2.22E-16
U::adenine	U::dihydrobiopterin	0.070347371	1.33E-15
P::dimethylglycine	U::dimethylglycine	0.086505536	2.22E-16
P::erythritol	U::erythritol	0.135574199	2.22E-16
P::butyrylcarnitine	U::ethylmalonate	0.122670266	2.22E-16
U::fucitol	U::fucose	0.109560989	2.22E-16
U::fructose	U::galactitol (dulcitol)	0.076194322	2.22E-16
P::gamma-CEHC	U::gamma-CEHC glucuronide*	0.104968172	2.22E-16
U::alpha-CEHC glucuronide*	U::gamma-CEHC glucuronide*	0.070121887	1.55E-15
U::gamma-glutamylisoleucine*	U::gamma-glutamylleucine	0.055219409	3.57E-10
U::gamma-glutamylisoleucine*	U::gamma-glutamylphenylalanine	0.053979554	8.74E-10
U::gamma-glutamylleucine	U::gamma-glutamylphenylalanine	0.117177607	2.22E-16
U::gamma-glutamylisoleucine*	U::gamma-glutamyltyrosine	0.048894182	2.82E-08
